,Company,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
531.,Klinker- und Ziegelwerk Franz Wenzel GmbH & Co. KG,OFFENBACHER LANDSTR. 105,HAINBURG,Germany,2332,n.a.,n.a.,4,4,4,4,4,4,n.a.,n.a.,n.a.,n.a.,18,18,18,18,18,n.a.,n.a.,n.a.
633.,Klinkerwerk B. Feldhaus GmbH & Co. KG,NORDRING 1,BAD LAER,Germany,2332,n.a.,n.a.,n.a.,7,7,7,6,6,4,n.a.,n.a.,n.a.,n.a.,27,27,29,29,29,23,n.a.
553.,Klinkerwerk Bertram GmbH,OESTINGHAUSENER STR. 12,LIPPETAL,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
636.,Klinkerwerk Hagen Alfred Eickhoff GmbH & Co. KG,HARMONIE 4,HAGEN,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
675.,Klinkerwerk Küsters GmbH & Co. KG,STEINSTR. 45,KLEVE,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,4,4,4,n.a.,n.a.,n.a.,n.a.,28,28,28,28,30,n.a.,n.a.,n.a.
526.,Klinkerwerk Muhr GmbH & Co. KG,BERGHEIDER STR. 1,LICHTERFELD,Germany,2332,n.a.,n.a.,6,6,5,5,5,n.a.,n.a.,n.a.,n.a.,n.a.,51,48,47,46,n.a.,n.a.,n.a.,n.a.
630.,Klinkerwerk Neuschoo Olga Müller GmbH & Co. KG,ZIEGELEIWEG 1,NEUSCHOO,Germany,2332,n.a.,n.a.,n.a.,n.a.,4,4,5,n.a.,n.a.,n.a.,n.a.,n.a.,25,25,25,25,n.a.,n.a.,n.a.,n.a.
516.,Klinkerwerke Heinrich W. Muhr GmbH & Co KG,FACKELDEYSTR. 80 -100,EMMERICH,Germany,2332,n.a.,n.a.,7,7,5,5,5,n.a.,n.a.,n.a.,n.a.,n.a.,63,40,40,43,n.a.,n.a.,n.a.,n.a.
131.,KLK Emmerich GmbH,STEINTOR 9,EMMERICH,Germany,2000,n.a.,537,366,317,259,251,291,n.a.,n.a.,n.a.,n.a.,403,230,231,119,226,205,n.a.,n.a.,n.a.
784.,KME Germany GmbH & Co. KG,KLOSTERSTR. 29,OSNABRUECK,Germany,2444,n.a.,"1,137","1,142","1,174","1,359","1,402","1,613",n.a.,n.a.,n.a.,"1,977","2,042","2,111","2,371","2,584","2,731","2,834",n.a.,n.a.,n.a.
406.,Knapsack Power GmbH & Co. KG,DERENDORFER ALLEE 2 A,DUESSELDORF,Germany,3511,n.a.,n.a.,56,10,37,167,217,193,461,735,n.a.,n.a.,38,43,46,45,37,38,31,30
929.,Knauf AMF GmbH & Co. KG,ELSENTHAL 15,GRAFENAU,Germany,0899,n.a.,n.a.,n.a.,115,115,110,110,n.a.,n.a.,n.a.,660,660,660,660,350,350,n.a.,n.a.,n.a.,n.a.
937.,Knauf Deutsche Gipswerke KG,AM BAHNHOF 7,IPHOFEN,Germany,0811,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,350,350,350,350,n.a.,300,n.a.
935.,Knauf Gips KG,AM BAHNHOF 7,IPHOFEN,Germany,0811,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,890","1,800","1,800","1,750","1,750","1,750","1,000",n.a.,n.a.,n.a.
226.,Knauf Insulation GmbH,HERAKLITHSTR. 8,SIMBACH,Germany,2399,n.a.,n.a.,237,254,256,199,202,184,146,146,n.a.,n.a.,437,463,401,271,286,243,208,n.a.
315.,Knauf Marmorit GmbH,ELLIGHOFEN 6,BOLLSCHWEIL,Germany,2362,n.a.,n.a.,110,108,101,100,103,94,95,99,n.a.,n.a.,255,272,280,290,301,318,331,382
429.,KNG Kraftwerks- und Netzgesellschaft mbH,AM KUEHLTURM 1,ROSTOCK,Germany,3511,n.a.,n.a.,45,46,59,34,33,33,34,n.a.,n.a.,n.a.,124,126,126,124,123,122,n.a.,n.a.
883.,Koehler decor GmbH & Co. KG,,,Germany,1712,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
795.,Koehler Greiz GmbH & Co. KG,MYLAUER STR. 4,GREIZ,Germany,1712,n.a.,27,27,27,25,25,27,n.a.,n.a.,n.a.,120,119,112,118,127,106,100,n.a.,n.a.,n.a.
889.,Koehler Kehl GmbH,BREMENWOERTSTR. 4,KEHL,Germany,1712,n.a.,361,359,349,370,379,382,n.a.,n.a.,n.a.,458,458,459,470,481,459,464,n.a.,n.a.,n.a.
202.,Koelnmesse GmbH,MESSEPLATZ 1,KOELN,Germany,9609,n.a.,n.a.,287,211,260,210,220,140,n.a.,169,n.a.,n.a.,564,550,528,507,499,n.a.,n.a.,450
548.,Köhler Kalk GmbH,STEINGASSE 6,MEISSNER,Germany,0811,n.a.,n.a.,2,2,2,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,12,12,12,n.a.,n.a.,n.a.,n.a.,n.a.
340.,KOMMANDITGESELLSCHAFT DEUTSCHE GASRUSSWERKE G.M.B.H. & CO.,WEIDENSTR. 70 - 72,DORTMUND,Germany,2014,n.a.,n.a.,95,126,127,139,141,122,85,123,n.a.,n.a.,140,146,162,149,172,172,173,181
269.,König-Brauerei GmbH,FRIEDRICH-EBERT-STR. 255 -263,DUISBURG,Germany,1105,n.a.,163,164,165,166,164,165,163,n.a.,n.a.,n.a.,300,300,300,300,300,300,300,n.a.,n.a.
495.,KONOS GMBH,FABRIKSTR. 8,NOSSEN,Germany,1722,n.a.,n.a.,16,19,18,19,22,17,17,17,n.a.,n.a.,87,92,85,84,79,75,72,70
184.,Konrad Hornschuch Aktiengesellschaft,SALINENSTR. 1,WEISSBACH,Germany,2221,n.a.,n.a.,n.a.,300,267,250,238,188,147,160,n.a.,n.a.,n.a.,"1,228","1,156","1,043",963,845,811,843
20.,"Korean Air Lines Co., Ltd","260, HANEUL-GIL",SEOUL,Republic of Korea,5110,n.a.,"9,216","9,044","8,923","8,141","8,737","8,233","7,792","5,758","5,981",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
199.,Kraft Foods Deutschland GmbH,LANGEMARCKSTR. 4-20,BREMEN,Germany,4637,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
486.,Kraftwerk Dessau GmbH,ALBRECHTSTR. 48,DESSAU-ROSSLAU,Germany,3511,n.a.,n.a.,18,21,28,29,27,29,n.a.,n.a.,n.a.,n.a.,42,42,41,40,42,n.a.,n.a.,n.a.
325.,Kraftwerk Mehrum GmbH,TRIFTSTR. 25,HOHENHAMELN,Germany,3511,n.a.,106,139,159,201,180,162,138,180,151,n.a.,131,132,135,138,139,141,139,138,136
415.,Kraftwerk Obernburg GmbH,INDUSTRIE CENTER OBERNBURG,OBERNBURG,Germany,3511,n.a.,n.a.,52,60,80,91,84,80,83,87,n.a.,n.a.,64,66,64,65,63,60,57,58
327.,KRAFTWERK VOERDE BESCHRAENKT HAFTENDE OHG,FRANKFURTER STR. 430,VOERDE,Germany,3511,n.a.,104,80,107,126,156,173,185,226,287,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
260.,Kraftwerke Mainz-Wiesbaden AG,KRAFTWERKALLEE 1,MAINZ,Germany,3530,n.a.,177,153,202,265,297,253,369,511,580,n.a.,358,357,355,359,363,363,356,352,346
688.,Krebs & Riedel Schleifscheibenfabrik GmbH & Co. KG,BREMER STR. 44,BAD KARLSHAFEN,Germany,2391,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,13,20,n.a.,n.a.,188,179,169,164,169,151,150,n.a.
471.,Krempel GmbH & Co. Pressspanwerk KG,BAHNHOFSTR. 3,THALHEIM,Germany,1712,n.a.,n.a.,26,25,32,28,25,25,20,n.a.,n.a.,n.a.,181,178,175,159,150,145,n.a.,n.a.
490.,Kristall-Glasfabrik Amberg GmbH,ROSENTHALSTR. 12,AMBERG,Germany,2313,n.a.,n.a.,n.a.,14,15,n.a.,n.a.,n.a.,n.a.,15,n.a.,n.a.,n.a.,143,147,n.a.,n.a.,n.a.,n.a.,145
135.,Krombacher Brauerei B. Schadeberg GmbH & Co. KG,HAGENER STR. 261,KREUZTAL,Germany,1105,n.a.,n.a.,540,538,508,485,492,495,n.a.,n.a.,n.a.,n.a.,968,974,970,878,835,818,n.a.,n.a.
118.,KRONOS TITAN GmbH,PESCHSTR. 5,LEVERKUSEN,Germany,2013,n.a.,n.a.,625,628,690,758,733,531,431,461,n.a.,n.a.,"1,037","1,065","1,061","1,062","1,021",983,984,982
132.,Kronospan GmbH,KUPPENHEIMER STR. 30,BISCHWEIER,Germany,7010,n.a.,n.a.,534,529,589,615,637,663,594,762,n.a.,n.a.,942,980,"1,242","1,242","1,331","1,425","1,531","1,718"
884.,Kronospan GmbH Lampertswalde,MUEHLBACHER STR. 1,LAMPERTSWALDE,Germany,2060,n.a.,n.a.,n.a.,n.a.,n.a.,182,188,200,189,n.a.,n.a.,260,n.a.,n.a.,n.a.,260,261,455,455,n.a.
404.,KUEBLER & NIETHAMMER PAPIERFABRIK KRIEBSTEIN AG,BAUHOFSTR. 1,KRIEBSTEIN,Germany,1712,n.a.,n.a.,57,60,51,58,59,49,55,57,n.a.,n.a.,129,129,128,117,111,111,115,114
230.,Kulmbacher Brauerei AG,LICHTENFELSER STRASSE 9,KULMBACH,Germany,1105,n.a.,231,229,226,217,218,225,220,230,234,n.a.,880,883,888,887,895,903,920,994,"1,053"
280.,L. Baumbach Hochbau GmbH,Heimkehrerstr. 12,Friedland,Germany,4100,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
851.,Lahnpaper GmbH,AUF BRUEHL 15 -27,LAHNSTEIN,Germany,1712,n.a.,n.a.,45,48,50,50,45,44,n.a.,n.a.,n.a.,210,210,233,233,233,223,223,n.a.,n.a.
374.,LaminatePark GmbH & Co.KG,WERKSTR. 1,HEUSWEILER,Germany,1622,n.a.,n.a.,74,71,83,87,83,79,74,87,n.a.,n.a.,231,229,242,244,232,213,263,285
860.,LANXESS Deutschland GmbH,KENNEDYPLATZ 1,KOELN,Germany,2016,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4,4,4,4,4,4,"14,472",n.a.,n.a.,n.a.
595.,Lauffenmühle GmbH & Co. kG,,,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
428.,Lauscha Fiber International GmbH,DAMMWEG 35,LAUSCHA,Germany,2314,n.a.,n.a.,46,40,33,35,32,31,21,23,n.a.,n.a.,107,102,75,90,86,69,77,83
49.,Lausitz Energie Kraftwerke AG,VOM-STEIN-STR. 39,COTTBUS,Germany,3511,n.a.,n.a.,"2,156","2,473","2,778","3,357","4,675","4,220","4,313","4,521",n.a.,n.a.,"2,162","2,790","2,822","2,888","2,938","2,929","2,806","2,727"
567.,Lech-Air Flugzeugvermietung GmbH,IGLINGER STR. 62,LANDSBERG,Germany,4614,n.a.,n.a.,0,0,0,0,0,0,0,n.a.,n.a.,n.a.,2,2,2,2,2,2,n.a.,n.a.
903.,Lech-Stahlwerke GmbH,INDUSTRIESTR. 1,MEITINGEN,Germany,2410,n.a.,550,590,648,648,691,746,n.a.,n.a.,n.a.,779,718,718,702,694,687,686,n.a.,n.a.,n.a.
254.,LEDVANCE GmbH,PARKRING 29 33,GARCHING,Germany,2740,n.a.,174,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,498,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
125.,LEIPA Georg Leinfelder GmbH,KUHHEIDE 34,SCHWEDT,Germany,7010,n.a.,n.a.,569,560,569,580,606,526,475,534,n.a.,n.a.,"1,160","1,182","1,224","1,072","1,088","1,159","1,198","1,236"
730.,Leipfinger-Bader GmbH & Co. KG,ZIEGELEISTR. 1,VILSECK,Germany,0811,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
939.,Leipfinger-Bader KG,ZIEGELEISTR. 15,BUCH,Germany,2332,n.a.,40,36,35,30,29,24,n.a.,n.a.,n.a.,126,126,120,120,105,100,100,n.a.,n.a.,n.a.
319.,Leipziger Messe GmbH,MESSE-ALLEE 1,LEIPZIG,Germany,8230,n.a.,109,92,90,97,90,80,83,85,86,n.a.,395,417,409,387,380,392,402,411,406
102.,Leonhard Kurz Stiftung & Co. KG,SCHWABACHER STR. 482,FUERTH,Germany,2221,n.a.,n.a.,764,657,622,628,581,540,460,466,n.a.,n.a.,"4,565","4,356","4,118","3,965","3,866","3,680","3,552","3,583"
768.,LG.Philips Displays Glass Germany GmbH,,,Germany,2790,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
434.,Liapor GmbH & Co.KG,INDUSTRIESTR. 2,HALLERNDORF,Germany,2399,n.a.,n.a.,43,42,43,43,46,46,44,54,n.a.,n.a.,278,284,283,286,298,310,314,346
872.,Licher Privatbrauerei Jhring – Melchior GmbH,IN DEN HARDTBERGGAERTEN,LICH,Germany,1105,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,60,n.a.,n.a.,n.a.,135,135,135,135,230,230,n.a.,n.a.,n.a.,n.a.
736.,Liebherr-Aviation GmbH,HANS-LIEBHERR-STR. 45,BIBERACH,Germany,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
938.,Linde Gas Produktionsgesellschaft mbH & Co. KG,SEITNERSTR. 70,PULLACH,Germany,7010,n.a.,n.a.,n.a.,400,400,400,400,n.a.,n.a.,n.a.,355,355,355,355,355,355,355,n.a.,n.a.,n.a.
715.,Lindenfarb-Textilveredlung Julius Probst GmbH & Co,FAERBERSTR. 10,AALEN,Germany,1330,n.a.,n.a.,n.a.,n.a.,37,33,35,n.a.,n.a.,n.a.,n.a.,n.a.,399,393,373,378,n.a.,n.a.,n.a.,n.a.
561.,LUFT AVIATION CHARTER PTY. LTD.,MARKET ST 35,SOUTH MELBOURNE,Australia,5110,n.a.,n.a.,1,3,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,3,3,n.a.,n.a.,n.a.,n.a.,n.a.
865.,Lufthansa Cargo AG,FLUGHAFEN FRANKFURT 322 /T21,FRANKFURT,Germany,5121,n.a.,n.a.,"2,355",n.a.,n.a.,n.a.,n.a.,n.a.,"1,951",n.a.,n.a.,"4,600","4,488","4,488","4,488","4,488","4,488",n.a.,"4,488",n.a.
767.,Lufthansa Technik AG,WEG BEIM JAEGER 193,HAMBURG,Germany,5223,n.a.,n.a.,"5,099","4,337",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"20,289","20,289","20,079","6,500","6,500","6,500","6,580",n.a.,n.a.
926.,Luitpoldhütte GmbH,SULZBACHER STR. 121,AMBERG,Germany,2450,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
545.,Lunzenauer Papier- und Pappenfabrik GmbH & Co.KG,ALTENBURGER STR. 3,LUNZENAU,Germany,1729,n.a.,n.a.,2,2,2,3,3,n.a.,n.a.,n.a.,n.a.,n.a.,33,33,33,33,n.a.,n.a.,n.a.,33
593.,LWB Refractories GmbH,,,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
641.,LWE Vermietungs GmbH,SCHLESISCHER PLATZ 2,DRESDEN,Germany,7710,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
494.,M. Bohlke Veneer Corp.,8375 N GILMORE RD,FAIRFIELD,United States of America,1621,15,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,75,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
312.,M. Busch GmbH & Co. KG,RUHRSTR. 1,BESTWIG,Germany,2451,n.a.,n.a.,111,105,113,106,120,89,56,141,n.a.,n.a.,522,491,492,499,480,411,504,648
244.,Magnesita Refractories GmbH,ITTERPARK 1,HILDEN,Germany,2320,n.a.,n.a.,199,225,222,207,232,202,148,238,n.a.,n.a.,419,391,378,357,340,340,450,550
599.,MAHAN AIRLINES,"MAHAN AIR TOWER, AZADEGAN ST., KARAJ HIGHWAY,",TEHRAN,Islamic Republic of Iran,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
742.,Maier & Kunze OHG,MAX-VON-MUELLER-STR. 23,ROTTENBURG,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
53.,Mainova AG,SOLMSSTRASSE 38,FRANKFURT AM MAIN,Germany,3511,n.a.,"2,006","1,987","2,099","2,258","2,052","1,826","1,727","1,726","1,790",n.a.,"2,658","2,686","2,765","2,810","2,943","2,970","2,884","2,859","2,874"
418.,Mainova EnergieDienste GmbH,SOLMSSTR. 38,FRANKFURT,Germany,8299,n.a.,n.a.,n.a.,n.a.,40,38,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.
475.,Mainzer Fernwärme GmbH,KRAFTWERKALLEE 1,MAINZ,Germany,3530,n.a.,26,24,24,26,25,22,22,22,22,n.a.,27,23,23,23,25,24,24,24,23
421.,Mainzer Stadtwerke AG,RHEINALLEE 41,MAINZ,Germany,3513,n.a.,n.a.,50,50,97,100,94,220,224,184,n.a.,n.a.,59,53,51,47,376,500,550,561
549.,Mainzer Wärme PLUS GmbH,RHEINALLEE 41,MAINZ,Germany,3511,n.a.,n.a.,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
904.,MAN Diesel & Turbo SE,STADTBACHSTR. 1,AUGSBURG,Germany,2811,n.a.,"2,456","2,386","3,100","3,396","3,780","2,150",n.a.,n.a.,n.a.,"14,930","14,930","14,935","14,947","14,863","12,260","12,258",n.a.,n.a.,n.a.
21.,MAN Truck & Bus AG,DACHAUER STR. 667,MUENCHEN,Germany,2910,n.a.,"8,330","8,997","8,412","8,892","8,822","8,984","7,446",n.a.,n.a.,n.a.,"35,000","35,000","35,000","34,012","34,376","34,239","31,284",n.a.,n.a.
232.,Mannstaedt GmbH,MENDENER STR. 51,TROISDORF,Germany,2431,n.a.,n.a.,218,222,219,210,229,161,102,226,n.a.,n.a.,740,752,702,719,699,533,572,688
92.,MAN Roland Druckmaschinen AG,MUEHLHEIMER STR. 341,OFFENBACH,Germany,4669,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,767,995,"1,548",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"5,809","6,519","6,814"
605.,MARK S HAYWORTH,1021 10TH ST NW,CHOTEAU,United States of America,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
114.,Mark-E Aktiengesellschaft,PLATZ DER IMPULSE 1,HAGEN,Germany,3511,n.a.,705,800,"1,114","1,297","1,383","1,332","1,327","1,132","1,223",n.a.,548,660,999,"1,049","1,091","1,139","1,092","1,054","1,031"
913.,Märker Kalk GmbH,OSKAR-MAERKER-STR. 24,HARBURG,Germany,2351,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,23,19,n.a.,n.a.,30,30,30,30,30,n.a.,30,30,n.a.,n.a.
914.,Märker Zement GmbH,OSKAR-MAERKER-STR. 24,HARBURG,Germany,2351,n.a.,n.a.,n.a.,n.a.,40,42,50,46,46,n.a.,n.a.,200,200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
647.,Märkische Keramik - Manufaktur Reicho GmbH,CHAUSSEESTR. 55,GOERZKE,Germany,2340,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
70.,Mars GmbH,EITZER STR. 215,VERDEN,Germany,1092,n.a.,n.a.,"1,405","1,615","1,436","1,365","1,328","1,354","1,381","1,433",n.a.,n.a.,"1,720","1,732","1,743","1,556","1,590","1,566","1,629","1,582"
243.,Martinswerk GmbH,KOELNER STR. 110,BERGHEIM,Germany,2320,n.a.,n.a.,202,181,180,175,161,335,260,313,n.a.,n.a.,481,471,484,486,499,497,504,526
529.,Matthias Heyer oHG,KREFELDER STR. 170,MOENCHENGLADBACH,Germany,6820,n.a.,n.a.,n.a.,n.a.,4,3,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,15,10,n.a.,n.a.,n.a.,n.a.
892.,Mayr-Melnhof Gernsbach GmbH,OBERTSROTER STR. 9,GERNSBACH,Germany,1712,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,200,200,200,200,200,200,200,n.a.,n.a.,n.a.
233.,MD Papier GmbH,NICOLAUSSTR. 7,PLATTLING,Germany,1712,n.a.,n.a.,216,223,215,244,250,221,178,258,n.a.,n.a.,454,455,347,324,296,396,450,474
146.,medl GmbH,Burgstr. 1,Muelheim,Germany,3510,n.a.,n.a.,100,99,100,89,99,109,106,115,n.a.,n.a.,107,108,104,99,95,95,92,93
754.,MEF Melasse-Extraktion Frellstedt GmbH,AN DER ZUCKERRAFFINERIE 10,FRELLSTEDT,Germany,8299,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,3,3,3,3,3,3,n.a.,n.a.,n.a.
589.,MEGAL GmbH & Co.KG,,,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
389.,Meissen Keramik GmbH,FABRIKSTR. 9 /10,MEISSEN,Germany,4618,n.a.,n.a.,65,54,47,38,37,26,21,29,n.a.,n.a.,157,145,152,155,155,123,n.a.,n.a.
446.,Meißener Stadtwerke GmbH (MSW),KARL-NIESNER-STR. 1,MEISSEN,Germany,3513,n.a.,n.a.,38,42,46,44,40,43,39,40,n.a.,n.a.,68,66,68,65,65,66,65,69
686.,Meister Recycling GmbH,AM KALKWERK 1,GROSSENLUEDER,Germany,2352,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4,24,44,36,27,n.a.,n.a.,n.a.
277.,MeisterWerke Schulte GmbH,JOHANNES-SCHULTE-ALLEE 5,RUETHEN,Germany,1629,n.a.,n.a.,150,143,143,143,136,128,121,20,n.a.,n.a.,595,696,619,592,564,569,601,n.a.
14.,Merck KGaA,FRANKFURTER STRASSE 250,DARMSTADT,Germany,2120,n.a.,"15,537","13,263","11,870","11,200","11,286","10,354","9,365","7,828","7,647",n.a.,"50,414","49,613","39,639","38,154","38,847","40,676","40,562","33,062","32,800"
222.,Messe Berlin GmbH,MESSEDAMM 22,BERLIN,Germany,8230,n.a.,n.a.,253,276,195,253,188,224,164,207,n.a.,n.a.,780,753,691,686,688,669,488,485
151.,Messe Düsseldorf GmbH,MESSEPLATZ,DUESSELDORF,Germany,8230,n.a.,452,312,418,328,395,388,346,279,506,n.a.,917,"1,207","1,200","1,212","1,250","1,253","1,474","1,567","1,480"
141.,Metsä Tissue GmbH,THEO-STREPP-STR. 2 -6,KREUZAU,Germany,1712,n.a.,n.a.,475,475,462,455,452,441,416,425,n.a.,n.a.,"1,087","1,083","1,115","1,169","1,139","1,062","1,057","1,055"
563.,METZELER Automotive Profile Systems GmbH,BREGENZER STR. 133,LINDAU,Germany,7010,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
402.,MHKW Müllheizkraftwerk Frankfurt am Main GmbH,WEIDENBORNSTR. 40,FRANKFURT,Germany,3511,n.a.,n.a.,57,59,66,72,68,75,61,55,n.a.,n.a.,39,35,30,19,11,8,5,5
444.,MHS Aviation,RAIFFEISENALLEE 5,OBERHACHING,Germany,8299,n.a.,n.a.,38,28,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,72,12,11,11,n.a.,n.a.,n.a.,n.a.
43.,MICHELIN REIFENWERKE AG & Co. Kommanditgesellschaft auf Aktien,MICHELINSTR. 4 D10286,KARLSRUHE,Germany,2211,n.a.,n.a.,"2,546","2,583","2,621","2,644","2,824","2,288","1,845","2,308",n.a.,n.a.,"5,221","5,190","5,119","5,134","5,237","5,130","5,106","5,224"
318.,Milei GmbH,KEMPTENER STR. 91,LEUTKIRCH,Germany,1050,n.a.,n.a.,107,123,125,124,114,102,67,93,n.a.,n.a.,192,187,184,177,165,154,146,146
142.,Mineralölraffinerie Oberrhein GmbH & Co. KG,NOERDLICHE RAFFINERIESTR. 1,KARLSRUHE,Germany,1920,n.a.,n.a.,466,350,309,350,308,392,275,271,n.a.,n.a.,"1,057",600,"1,028",n.a.,"1,020","1,026","1,012",981
